#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,SG,20:15,2-5,0-2,2-2,10.5,0.0,0,0,11,2,0,1,0,6
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,19:45,0-1,0-0,0-0,2.8,0.0,2,2,4,2,0,1,0,0
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,30:15,5-10,0-0,2-2,11.5,4.0,7,11,0,1,0,3,2,12
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Starter,PF,24:02,3-8,0-2,0-0,4.0,2.0,4,6,1,2,2,3,0,6
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SF,26:44,4-10,2-6,0-0,6.2,0.0,1,1,4,2,2,2,0,10
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,19:40,4-9,1-3,2-4,3.2,1.0,2,3,1,4,0,1,0,11
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,18:03,7-12,7-11,0-0,13.8,1.0,1,2,1,0,0,1,0,21
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,15:33,2-7,1-3,0-0,0.8,2.0,0,2,0,2,0,0,0,5
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,13:54,1-1,0-0,0-0,1.2,0.0,4,4,0,4,0,1,0,2
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,11:49,1-3,1-3,0-0,1.2,0.0,0,0,1,3,1,0,0,3
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
