#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
8,"<a href=""/player/Vitor-Benite/Summary/28619"">Vitor Benite</a>",Starter,SF,31:14,4-7,2-3,6-7,10.6,0.0,2,2,3,4,0,0,0,16
16,"<a href=""/player/Marcos-Delia/Summary/24746"">Marcos Delia</a>",Starter,C,25:39,0-4,0-0,1-2,-1.5,1.0,1,2,0,1,0,1,1,1
11,"<a href=""/player/Clevin-Hannah/Summary/7555"">Clevin Hannah</a>",Starter,PG,22:12,2-13,1-8,0-0,2.2,2.0,2,4,4,1,1,1,0,5
12,"<a href=""/player/Brad-Oleson/Summary/29006"">Brad Oleson</a>",Starter,SG,29:52,5-11,1-5,2-2,5.2,1.0,1,2,1,1,1,2,0,13
99,"<a href=""/player/Ovie-Soko/Summary/8162"">Ovie Soko</a>",Starter,PF,34:24,6-15,1-1,5-6,14.5,3.0,8,11,0,2,1,0,1,18
6,"<a href=""/player/Jose-Angel-Antelo/Summary/28143"">Jose Angel Antelo</a>",Bench,PF,07:37,1-4,1-4,2-2,1.2,0.0,2,2,0,1,0,1,0,5
9,"<a href=""/player/Charlon-Kloof/Summary/28029"">Charlon Kloof</a>",Bench,SG,18:13,3-5,1-1,2-2,6.0,1.0,2,3,1,4,1,1,0,9
33,"<a href=""/player/Marko-Lukovic/Summary/26834"">Marko Lukovic</a>",Bench,SF,02:59,0-1,0-0,0-0,-2.8,0.0,0,0,0,2,0,1,0,0
5,"<a href=""/player/Alberto-Martin/Summary/27823"">Alberto Martin</a>",Bench,PG,04:54,0-1,0-1,0-0,-0.5,0.0,1,1,0,1,0,0,0,0
27,"<a href=""/player/Sadiel-Rojas/Summary/31397"">Sadiel Rojas</a>",Bench,SG,17:15,0-2,0-2,1-2,2.8,1.0,6,7,0,5,1,0,0,1
24,"<a href=""/player/Kevin-Tumba/Summary/43935"">Kevin Tumba</a>",Bench,PF,19:21,0-2,0-0,0-2,5.5,3.0,5,8,0,2,1,1,2,0
3,"<a href=""/player/Alex-Urtasun/Summary/29018"">Alex Urtasun</a>",Bench,SG,11:20,0-2,0-1,0-0,-0.2,0.0,1,1,1,1,1,1,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
