#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,"Total S %",ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
2,"Johnny Dee",ARAB,34,28.7,5.5,12.1,.457,2.8,6.0,.473,2.1,2.4,.875,1.3,2.2,0.6,2.6,3.2,2.5,1.2,0.0,15.9,.607,.574,180.5,2.4,11.5,6.9,14.5,9.0,2.3,0.0,23.2,1.2,1.3,126.5,116.4,10.1,333.8,20.4,1
9,"Reggie Johnson",OUR,34,30.0,5.7,12.8,.443,1.4,4.4,.313,2.4,3.1,.776,2.8,2.7,0.6,1.9,2.4,3.0,1.5,0.0,15.2,.534,.497,153.2,2.3,7.5,4.9,20.3,16.6,2.9,0.1,27.5,-2.7,1.2,103.4,109.0,-5.6,227.6,15.6,0
5,"Alec Wintering",ARAB,34,31.7,5.4,12.0,.447,0.8,2.1,.371,3.5,5.0,.702,2.9,2.7,0.7,2.8,3.5,5.5,1.7,0.1,15.0,.529,.479,152.0,2.7,10.9,6.7,28.0,16.7,3.0,0.3,24.8,2.4,1.3,109.0,114.9,-5.9,340.1,17.7,0
3,"Volodymyr Herun",FCB,30,29.3,5.4,10.7,.500,0.0,0.5,.071,4.0,5.7,.703,1.2,1.1,2.8,5.1,7.9,1.6,0.5,0.9,14.8,.558,.502,127.5,11.2,19.8,15.6,11.1,8.5,0.9,2.6,23.3,-0.5,1.4,119.7,107.3,12.4,372.8,21.9,4
6,"Sergio De La Fuente",VAL,37,28.3,5.5,11.8,.465,1.1,3.3,.336,2.5,3.6,.689,1.7,2.4,2.1,4.7,6.8,0.7,1.2,0.1,14.6,.544,.511,148.9,9.4,20.4,15.0,5.3,11.4,2.5,0.5,26.4,-4.4,1.2,108.8,105.8,3.0,338.9,19.5,3
1,"Caleb Agada",PRA,42,25.0,5.3,12.0,.444,0.8,3.1,.252,3.0,4.6,.653,1.7,3.1,1.6,2.9,4.5,2.0,2.2,0.1,14.4,.515,.477,134.9,7.6,14.7,11.1,17.7,11.1,5.3,0.5,31.6,-1.8,1.2,107.5,92.8,14.7,357.1,23.3,1
3,"Henri Wade-Chatman",VAL,37,25.7,5.1,12.0,.427,1.3,3.8,.338,2.8,3.6,.788,2.2,2.4,0.5,1.8,2.3,2.9,1.2,0.0,14.3,.528,.480,155.3,2.6,8.7,5.7,23.0,13.8,2.7,0.1,30.2,-1.0,1.2,105.8,110.1,-4.3,242.5,18.0,0
4,"Warren Ward",CAC,20,26.7,5.0,11.4,.443,2.3,6.0,.380,1.8,2.0,.854,1.7,2.1,0.5,2.5,3.0,1.9,1.1,0.1,14.2,.575,.544,167.7,2.2,11.7,7.0,15.3,12.1,2.2,0.4,26.2,-1.6,1.2,108.8,111.0,-2.3,149.4,17.1,2
6,"Brano Dukanovic",FOR,34,26.3,4.6,11.3,.408,1.9,5.1,.374,2.9,3.3,.883,2.1,1.6,0.4,1.3,1.6,2.1,0.9,0.1,14.0,.550,.492,166.4,1.9,6.3,4.1,15.6,14.1,2.0,0.2,28.9,-2.7,1.2,106.5,115.7,-9.2,195.9,16.3,2
4,"Evan Yates",KRC,34,30.8,5.7,10.3,.556,0.1,0.3,.300,2.2,4.2,.531,2.5,2.5,3.6,4.9,8.5,2.8,0.9,0.4,13.8,.567,.560,138.7,13.8,21.9,17.5,17.8,16.9,1.6,1.2,22.5,-1.9,1.3,112.3,109.9,2.4,409.1,20.5,3
5,"Kevin Van Wijk",MAG,33,29.6,4.9,10.6,.460,1.4,4.5,.313,2.6,3.6,.737,1.6,2.2,1.2,4.8,6.0,1.2,1.9,0.2,13.8,.566,.526,151.0,4.8,21.7,12.8,8.5,11.7,3.8,0.9,23.5,-2.7,1.3,109.9,102.7,7.2,330.0,19.6,3
1,"Oliver Arteaga",OCB,30,23.2,5.0,7.9,.637,0.0,0.0,.000,3.6,4.7,.764,2.1,1.6,2.0,4.9,6.9,1.1,0.5,0.7,13.6,.685,.637,140.1,11.1,26.1,18.7,9.7,17.4,1.3,3.0,26.0,-6.1,1.7,122.4,105.1,17.3,330.8,26.8,4
2,"Jarred Ogungbemi-Jackson",FOR,34,29.4,4.8,10.9,.438,1.9,4.0,.481,2.0,2.3,.859,1.6,1.9,0.7,3.4,4.1,3.1,0.9,0.2,13.5,.564,.526,177.9,3.3,15.2,9.3,20.3,11.9,1.9,0.7,23.6,1.6,1.2,115.2,112.6,2.5,319.8,18.5,0
6,"Nikola Rakocevic",CAC,29,26.3,4.5,10.6,.422,1.8,5.4,.333,2.7,3.1,.876,1.6,2.2,0.4,2.2,2.6,1.9,0.9,0.1,13.4,.562,.506,163.2,2.2,9.9,6.2,14.6,11.9,1.8,0.3,25.9,-1.3,1.3,109.3,112.3,-3.0,190.4,15.9,1
1,"Zach Monaghan",LBC,33,26.1,4.5,10.5,.425,2.4,5.9,.403,2.0,2.6,.747,2.5,2.7,0.4,1.7,2.1,5.0,1.2,0.3,13.3,.570,.539,157.5,1.9,8.4,5.1,37.3,17.6,2.6,1.2,26.6,3.3,1.3,110.1,108.6,1.5,291.1,18.7,0
1,"Jordi Trias",MAN,47,27.2,5.2,9.5,.553,0.0,0.1,.400,2.6,3.7,.697,2.0,1.8,2.2,5.9,8.1,3.6,0.7,1.1,13.1,.590,.555,165.0,10.1,26.3,18.3,24.6,15.0,1.5,4.2,23.2,1.5,1.4,119.6,100.4,19.3,644.9,24.7,3
1,"Kedar Edwards",ARAB,34,26.2,5.6,10.4,.537,0.2,0.9,.276,1.7,2.7,.634,1.3,2.1,2.9,2.9,5.8,1.7,1.6,0.5,13.1,.566,.548,144.7,13.7,13.7,13.7,11.3,10.3,3.3,1.8,22.7,-0.7,1.3,120.4,112.4,8.0,366.6,23.0,2
3,"Carles Bivia",PAE,34,29.2,4.6,9.7,.474,2.1,5.2,.403,1.5,1.8,.806,2.1,2.7,0.7,2.7,3.4,3.1,1.3,0.2,12.7,.608,.582,168.4,3.1,11.7,7.5,19.9,16.6,2.6,0.9,22.8,-0.2,1.3,113.9,114.1,-0.2,291.8,18.3,1
7,"Aleix Font",FCB,33,26.2,4.2,9.8,.432,1.9,4.8,.405,2.1,2.5,.819,2.2,2.8,0.9,3.0,3.9,1.8,1.4,0.0,12.4,.572,.531,165.6,4.1,13.0,8.5,12.9,16.9,2.9,0.0,23.2,-3.7,1.3,106.0,107.5,-1.4,226.9,15.3,1
3,"Jordi Grimau",PAL,40,25.7,4.1,9.1,.453,1.1,3.5,.321,2.8,3.1,.880,1.6,2.0,0.8,2.4,3.1,2.3,0.7,0.0,12.1,.579,.515,165.4,3.6,11.3,7.4,17.1,13.5,1.6,0.0,23.6,-0.3,1.3,113.7,108.3,5.4,283.4,17.5,2
4,"Fran Guerra",MEL,48,25.6,5.0,7.7,.644,0.0,0.3,.154,1.7,2.8,.607,2.5,3.0,2.1,4.5,6.7,2.8,0.8,0.3,11.7,.653,.647,140.5,10.8,20.1,15.7,21.9,22.1,1.9,1.1,23.1,-2.8,1.5,114.5,101.5,13.1,490.1,21.4,4
13,"Greg Gantt",VAL,37,25.9,4.3,9.2,.465,1.9,4.4,.444,1.2,1.4,.849,1.0,2.3,0.5,1.6,2.1,0.5,0.5,0.1,11.7,.596,.571,175.8,2.7,7.5,5.1,3.6,9.5,1.0,0.5,20.7,-2.7,1.3,116.5,113.9,2.6,180.6,14.2,1
2,"Daniel Trist",OUR,34,23.6,4.1,8.2,.507,0.7,2.0,.338,2.7,3.4,.807,1.6,2.0,1.9,3.3,5.3,1.0,0.2,0.1,11.7,.605,.549,165.2,10.1,17.1,13.6,8.1,13.9,0.6,0.4,23.0,-3.9,1.4,118.6,110.4,8.3,254.0,18.9,2
4,"Salva Arco",BRE,34,24.5,4.0,8.0,.502,1.9,4.0,.467,1.7,2.0,.826,1.4,2.2,0.4,2.1,2.5,2.2,0.8,0.1,11.6,.652,.620,179.5,2.0,10.4,6.4,13.9,13.2,1.8,0.2,19.6,0.4,1.5,125.4,106.8,18.5,250.4,17.5,1
17,"Tre' Coggins",KRC,33,26.3,4.0,10.7,.370,1.9,5.6,.344,1.5,1.7,.891,1.5,2.5,0.7,2.2,2.8,1.5,1.4,0.0,11.4,.496,.460,160.5,3.0,11.3,6.8,10.1,11.7,2.9,0.1,23.4,-2.0,1.1,103.7,111.1,-7.4,167.1,12.9,1
20,"Dmitry Flis",LBC,39,23.7,4.4,10.2,.430,1.5,3.9,.391,1.1,1.6,.641,1.4,2.8,1.1,2.6,3.7,1.1,0.7,0.5,11.3,.519,.504,146.1,5.7,14.1,9.8,9.3,11.6,1.7,2.2,25.7,-3.0,1.1,100.2,107.9,-7.7,218.2,14.4,3
5,"Diego Kapelan",MEL,48,20.9,3.9,8.8,.440,2.4,5.5,.426,1.2,1.8,.690,0.9,1.5,0.3,1.6,1.9,1.1,0.3,0.0,11.3,.592,.575,155.7,1.9,8.6,5.5,10.4,8.4,0.9,0.2,25.7,-0.8,1.3,115.5,109.3,6.2,257.5,17.4,1
9,"Gabriel Lundberg",MAN,46,27.5,4.0,9.0,.448,1.0,3.4,.301,2.1,3.2,.655,1.3,2.0,0.9,2.3,3.2,2.0,1.0,0.0,11.1,.537,.505,140.4,4.2,10.3,7.3,12.6,10.8,2.1,0.1,20.5,0.3,1.2,111.9,107.5,4.4,306.6,14.8,1
15,"Rafa Huertas",PAE,32,27.3,4.0,9.4,.425,1.5,4.1,.364,1.6,2.0,.812,1.5,1.7,0.3,1.1,1.4,1.8,0.7,0.1,11.1,.541,.505,160.1,1.3,5.2,3.3,12.1,12.5,1.6,0.5,22.6,-1.1,1.2,105.5,119.2,-13.7,152.0,13.2,1
