#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
8,"<a href=""/player/Dario-Brizuela/Summary/27693"">Dario Brizuela</a>",Starter,SF,18:58,6-11,2-5,0-0,5.8,1.0,2,3,1,3,0,2,0,14
10,"<a href=""/player/Omar-Cook/Summary/669"">Omar Cook</a>",Starter,SG,22:08,1-4,1-4,2-2,5.8,0.0,0,0,5,1,0,0,0,5
4,"<a href=""/player/Aleksandar-Cvetkovic/Summary/24800"">Aleksandar Cvetkovic</a>",Starter,PG,19:37,2-7,1-4,4-4,5.0,1.0,1,2,2,2,0,0,0,9
15,"<a href=""/player/Sylven-Landesberg/Summary/2176"">Sylven Landesberg</a>",Starter,PF,21:28,3-10,2-4,3-4,2.5,1.0,0,1,0,3,1,0,0,11
12,"<a href=""/player/Goran-Suton/Summary/1686"">Goran Suton</a>",Starter,C,23:16,2-4,2-3,3-3,9.9,1.0,4,5,2,4,0,0,1,9
77,"<a href=""/player/Victor-Arteaga/Summary/30679"">Victor Arteaga</a>",Bench,C,16:13,5-8,0-0,0-0,10.5,2.0,4,6,0,1,1,0,1,10
21,"<a href=""/player/Alec-Brown/Summary/23740"">Alec Brown</a>",Bench,C,17:53,5-8,1-2,3-5,11.6,3.0,2,5,1,4,2,1,1,14
6,"<a href=""/player/Ludde-Hakanson/Summary/32962"">Ludde Hakanson</a>",Bench,PG,17:52,4-8,2-5,0-0,10.5,0.0,6,6,3,2,1,1,0,10
17,"<a href=""/player/Sitapha-Savane/Summary/26449"">Sitapha Savane</a>",Bench,PF,15:09,2-3,0-0,1-2,2.0,1.0,0,1,0,2,1,2,1,5
5,"<a href=""/player/Adams-Sola/Summary/108742"">Adams Sola</a>",Bench,SG,08:44,0-0,0-0,1-2,1.2,1.0,0,1,0,2,1,0,0,1
9,"<a href=""/player/Edgar-Vicedo/Summary/27697"">Edgar Vicedo</a>",Bench,SF,18:42,2-7,1-4,2-2,4.0,2.0,4,6,1,2,0,2,0,7
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,5,1,6,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
