#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Starter,SF,20:19,3-8,3-8,0-0,4.2,1.0,1,2,0,1,0,1,1,9
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,24:33,0-3,0-1,3-4,3.2,2.0,2,4,0,1,0,0,1,3
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,20:50,0-1,0-1,0-0,7.5,0.0,1,1,10,5,1,1,0,0
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,28:57,8-9,0-0,3-5,10.6,2.0,3,5,0,2,0,4,1,19
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,25:17,4-11,3-7,6-7,7.4,0.0,1,1,2,3,1,1,0,17
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,08:00,1-2,1-1,0-0,1.5,0.0,0,0,0,0,0,0,0,3
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,07:00,1-2,0-0,0-0,5.8,1.0,3,4,2,0,0,0,0,2
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,15:27,9-13,0-1,0-0,17.5,4.0,3,7,1,2,1,1,3,18
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,19:10,0-7,0-5,3-3,4.1,1.0,2,3,5,2,1,0,0,3
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,19:24,1-9,1-8,0-0,-2.8,0.0,2,2,0,1,0,0,0,3
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,11:03,0-1,0-0,0-0,1.0,0.0,1,1,0,2,1,1,2,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,3,4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
